date,temperature,humidity,wind_speed,AQI
2024-06-01,21.6,67.0,21.0, 50
2024-06-02,23.75,70.0,23.0, 51
2024-06-03,25.45,76.0,16.8, 68
2024-06-04,25.25,75.5,15.8, 64
2024-06-05,25.15,78.5,17.3, 71
2024-06-06,25.7,75.5,14.4, 72
2024-06-07,25.85,70.0,15.5, 72
2024-06-08,26.65,70.5,16.8, 82
2024-06-09,25.85,77.5,16.6, 74
2024-06-10,25.15,77.5,17.1, 74
2024-06-11,25.15,78.5,17.0, 62
2024-06-12,25.45,78.0,17.3, 61
2024-06-13,25.55,75.0,16.9, 79
2024-06-14,27.2,72.0,16.5, 71
2024-06-15,27.15,73.5,18.4, 67
2024-06-16,26.55,73.0,18.0, 74
2024-06-17,25.85,73.5,16.3, 52
2024-06-18,24.4,72.0,19.1, 46
2024-06-19,25.3,75.5,19.3, 48
2024-06-20,25.95,78.0,17.2, 66
2024-06-21,26.7,74.0,16.6, 65
2024-06-22,26.2,77.0,19.1, 64
2024-06-23,27.1,77.0,24.1, 65
2024-06-24,27.35,77.5,16.2, 66
2024-06-25,26.3,75.0,15.0, 53
2024-06-26,25.85,76.0,16.0, 51
2024-06-27,26.65,77.0,16.0, 60
2024-06-28,26.85,78.0,18.4, 75
2024-06-29,27.55,75.5,17.4, 65
2024-06-30,27.1,74.5,19.0, 58
2024-07-01,26.55,76.5,19.5, 63
2024-07-02,27.6,76.0,20.2, 64
2024-07-03,26.75,74.5,18.8, 58
2024-07-04,26.75,62.0,18.8, 59
2024-07-05,27.3,73.5,19.5, 63
2024-07-06,26.75,72.0,17.2, 48
2024-07-07,27.2,71.5,18.2, 58
2024-07-08,27.7,76.0,19.2, 64
2024-07-09,27.75,77.0,18.5, 64
2024-07-10,27.35,76.5,16.1, 76
2024-07-11,28.55,72.5,15.5, 65
2024-07-12,27.45,73.5,16.5, 66
2024-07-13,27.950000000000003,72.5,17.1, 68
2024-07-14,28.6,75.0,24.2, 58
2024-07-15,29.15,72.5,20.5, 66
2024-07-16,27.9,77.5,17.5, 66
2024-07-17,27.25,75.0,18.3, 63
2024-07-18,26.8,72.5,16.6, 61
2024-07-19,27.65,75.0,18.4, 62
2024-07-20,28.65,77.0,21.1, 60
2024-07-21,28.95,76.0,17.5, 80
2024-07-22,28.6,79.5,18.6, 75
2024-07-23,28.75,77.0,18.5, 71
2024-07-24,28.0,75.0,18.3, 59
2024-07-25,29.3,76.0,20.2, 60
